"YEARMONTH","Bedminster","Piscataway","Middletown","Paramus"
"201401",8.27,4.89,2.36,2.17
"201402",10.02,4.57,3.15,3.01
"201403",11.16,5.00,4.27,4.06
"201404",13.31,5.00,5.35,5.11
"201405",12.82,5.00,5.01,4.74
"201406",14.01,6.09,9.17,8.98
"201407",14.66,7.00,8.84,8.41
"201408",16.95,7.02,12.22,11.84
"201409",21.56,8.12,16.09,15.50
"201410",25.35,9.00,19.04,18.37
"201411",21.93,9.00,17.61,17.13
"201412",24.00,9.00,19.00,18.00
"201501",25.14,2.01,15.19,12.13
"201502",26.30,2.67,16.95,13.47
"201503",26.5833333333333,45.63333333333333,16.1166666666667,12.40
